"customer_id","hshold_lifestage_last","income_1_avg","income_2_avg","networth_1_avg","networth_2_avg","trip_seq_nb","bkng_dt","arvl_dt","nght_cnt","tot_amt","gst_cnt_sum","new_lifestage_id","min_arvl_dt","max_arvl_dt","customer_lifetime","diff_btwn_dates_in_days","churn_probabilities","ecdf_probabilities","churn_flag"
9,"SENIORS",15000,18750,25000,62500,38,"2017-05-15","2017-05-29",2,0,8,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,17,"2012-02-29","2012-05-12",7,303.5345441,1,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,32,"2013-11-10","2014-01-04",2,0,4,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,36,"2015-11-19","2015-12-04",7,0,1,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,29,"2012-04-17","2013-03-30",7,0,1,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,28,"2012-04-16","2013-03-09",7,0,1,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,37,"2016-03-02","2016-05-18",3,4713.356381,2,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,23,"2012-07-29","2012-10-05",7,0,1,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,47,"2019-01-30","2019-06-02",7,3330.905312,2,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,20,"2012-04-29","2012-07-26",5,172.8109912,1,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,18,"2012-03-11","2012-05-31",5,73.72416474,1,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,30,"2012-09-18","2013-05-03",7,0,1,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,22,"2012-06-20","2012-09-21",7,259.909412,1,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,24,"2012-05-17","2012-10-27",7,0,1,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,21,"2012-06-07","2012-08-10",7,1577.860276,1,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,27,"2012-09-10","2013-01-31",14,0,1,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,25,"2012-04-10","2013-01-01",8,0,1,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,31,"2013-08-17","2013-10-13",3,0,4,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,35,"2015-07-18","2015-10-12",2,0,2,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,43,"2019-04-10","2019-05-05",4,556.712731,2,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
9,"SENIORS",15000,18750,25000,62500,40,"2017-05-01","2017-10-13",7,752.1625522,2,1,"2012-05-12","2019-06-02",2577,2585,0.494742990654206,0.505257009345794,0
10,"TWEEN",27500,31250,25000,250000,3,"2016-07-09","2017-01-14",6,791.5039232,4,7,"2012-03-14","2017-01-14",1767,1716.04166666667,0.875,0.125,1
10,"TWEEN",27500,31250,25000,250000,2,"2013-08-07","2013-11-21",7,37.70768543,2,7,"2012-03-14","2017-01-14",1767,1716.04166666667,0.875,0.125,1
10,"TWEEN",27500,31250,25000,250000,1,"2012-02-29","2012-03-14",8,637.3318103,16,7,"2012-03-14","2017-01-14",1767,1716.04166666667,0.875,0.125,1
11,"TWEEN",20000,10000,12500,62500,55,"2017-03-26","2018-01-29",3,0,2,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,59,"2018-01-18","2018-04-22",4,208.3898019,2,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,35,"2015-03-24","2015-12-10",4,0,4,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,34,"2015-10-05","2015-11-15",3,0,2,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,71,"2019-05-28","2019-06-11",1,0,2,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,56,"2017-10-15","2018-02-23",4,956.7910645,2,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,25,"2014-05-08","2014-08-05",6,0,3,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,44,"2016-07-19","2017-01-15",4,0,7,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
11,"TWEEN",20000,10000,12500,62500,20,"2013-05-14","2013-06-13",6,671.4871556,5,7,"2013-01-17","2020-02-08",2578,2836.04166666667,0.11857476635514,0.88142523364486,0
